frame	osa     sroa	vicon	draw	total
0.006	0.010	0.002	0.007	0.015	0.040
0.005	0.003	0.000	0.011	0.000	0.019
0.012	0.013	0.001	0.011	0.000	0.038
0.031	0.008	0.000	0.011	0.000	0.049
0.036	0.004	0.001	0.011	0.000	0.051
0.020	0.003	0.000	0.010	0.000	0.033
0.045	0.020	0.001	0.010	0.000	0.076
0.007	0.023	0.001	0.014	0.000	0.045
0.023	0.021	0.000	0.012	0.000	0.058
0.011	0.008	0.043	0.010	0.000	0.073
0.024	0.031	0.000	0.011	0.017	0.084
0.009	0.006	0.001	0.012	0.000	0.028
0.008	0.009	0.000	0.012	0.000	0.030
0.021	0.010	0.000	0.013	0.000	0.044
0.030	0.004	0.000	0.011	0.000	0.046
0.007	0.009	0.000	0.011	0.000	0.027
0.029	0.003	0.001	0.010	0.000	0.042
0.027	0.021	0.041	0.011	0.000	0.100
0.031	0.030	0.000	0.009	0.000	0.070
0.005	0.013	0.001	0.007	0.000	0.026
0.008	0.009	0.000	0.011	0.016	0.044
0.003	0.002	0.048	0.011	0.000	0.065
0.064	0.006	0.001	0.010	0.000	0.080
0.007	0.010	0.001	0.010	0.000	0.028
0.007	0.017	0.037	0.009	0.000	0.070
0.030	0.033	0.001	0.012	0.000	0.075
0.009	0.010	0.001	0.012	0.000	0.033
0.014	0.004	0.001	0.017	0.000	0.036
0.020	0.003	0.000	0.010	0.000	0.034
0.007	0.009	0.001	0.011	0.000	0.028
0.023	0.003	0.000	0.010	0.017	0.054
0.005	0.003	0.000	0.009	0.000	0.018
0.032	0.006	0.000	0.012	0.000	0.051
0.032	0.011	0.000	0.012	0.000	0.056
0.015	0.023	0.000	0.011	0.000	0.050
0.007	0.013	0.000	0.012	0.000	0.033
0.107	0.020	0.001	0.012	0.000	0.139
0.009	0.009	0.000	0.012	0.000	0.030
0.006	0.018	0.000	0.008	0.000	0.032
0.009	0.006	0.001	0.011	0.000	0.027
0.006	0.013	0.000	0.008	0.014	0.041
0.027	0.003	0.000	0.008	0.000	0.038
0.056	0.019	0.001	0.009	0.000	0.085
0.008	0.011	0.000	0.014	0.000	0.033
0.007	0.016	0.000	0.010	0.000	0.034
0.028	0.003	0.001	0.009	0.000	0.041
0.023	0.005	0.000	0.010	0.000	0.039
0.009	0.009	0.001	0.014	0.000	0.033
0.008	0.011	0.001	0.014	0.000	0.034
0.024	0.006	0.001	0.013	0.000	0.043
0.031	0.006	0.000	0.009	0.024	0.071
0.004	0.005	0.000	0.010	0.000	0.019
0.017	0.003	0.000	0.011	0.000	0.031
0.008	0.010	0.000	0.010	0.000	0.027
0.023	0.004	0.000	0.014	0.000	0.042
0.011	0.007	0.000	0.015	0.000	0.033
0.029	0.025	0.000	0.011	0.000	0.066
0.034	0.004	0.000	0.010	0.000	0.048
0.019	0.003	0.000	0.011	0.000	0.033
0.020	0.003	0.000	0.012	0.000	0.035
0.010	0.017	0.000	0.012	0.019	0.059
0.004	0.003	0.001	0.013	0.000	0.021
0.029	0.003	0.000	0.008	0.000	0.040
0.017	0.004	0.001	0.007	0.000	0.029
0.018	0.006	0.000	0.009	0.000	0.034
0.007	0.011	0.000	0.008	0.000	0.027
0.017	0.003	0.000	0.008	0.000	0.029
0.034	0.004	0.000	0.009	0.000	0.048
0.019	0.003	0.000	0.011	0.000	0.033
0.019	0.006	0.000	0.010	0.000	0.035
0.010	0.023	0.000	0.010	0.016	0.060
0.005	0.005	0.000	0.008	0.000	0.018
0.031	1.371	0.001	0.012	0.000	1.414
0.008	0.011	0.000	0.011	0.000	0.030
0.011	0.016	0.001	0.012	0.000	0.040
0.009	0.010	0.001	0.014	0.000	0.033
0.021	0.023	0.000	0.013	0.000	0.056
0.010	0.015	0.000	0.011	0.000	0.036
0.011	0.006	0.001	0.012	0.000	0.030
0.009	0.009	0.000	0.008	0.000	0.027
0.006	0.009	0.000	0.008	0.015	0.039
0.019	0.009	0.000	0.007	0.000	0.036
0.032	0.028	0.001	0.012	0.000	0.072
0.008	0.012	0.000	0.012	0.000	0.033
0.022	0.003	0.000	0.008	0.000	0.033
0.006	0.011	0.000	0.009	0.000	0.026
0.008	0.009	0.000	0.012	0.000	0.030
0.008	0.012	0.001	0.010	0.000	0.030
0.011	0.007	0.000	0.013	0.000	0.032
0.008	0.012	0.000	0.014	0.000	0.034
0.010	0.016	0.000	0.012	0.018	0.057
0.008	0.004	0.000	0.011	0.000	0.024
0.007	0.011	0.000	0.010	0.000	0.029
0.009	0.008	0.047	0.009	0.000	0.073
0.041	0.035	0.001	0.013	0.000	0.090
0.008	0.009	0.000	0.014	0.000	0.032
0.009	0.015	0.046	0.011	0.000	0.080
0.028	0.031	0.001	0.014	0.000	0.074
0.013	0.003	0.001	0.013	0.000	0.031
0.010	0.008	0.000	0.012	0.000	0.030
0.009	0.014	0.000	0.012	0.019	0.054
0.019	0.003	0.000	0.008	0.000	0.030
